"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__reply_to_message_id","messages__file","messages__media_type","messages__mime_type","messages__duration_seconds","messages__thumbnail","messages__text__href","messages__forwarded_from","messages__actor","messages__actor_id","messages__action","messages__message_id"
"","","","13811","message","2020-08-09T12:45:15","","Onliner","9598013669","","","","Читатели сообщают, что станция метро Купаловская закрыта.","","","","","","","","","","","","","",""
"","","","13812","message","2020-08-09T12:53:57","","Onliner","9598013669","","464","848","На проспекте Независимости возле универсама ""Центральный"" появились турникеты, рядом с которыми дежурят сотрудники милиции. Фактически доступ к площади Независимости контролируется со всех сторон.","","","","(File not included. Change data exporting settings to download.)","video_file","video/mp4","9","(File not included. Change data exporting settings to download.)","","","","","",""
"","","","13813","message","2020-08-09T13:04:21","2020-08-09T13:07:51","Onliner","9598013669","","","","Данные экзитпола: предварительно Лукашенко набрал 79,7% голосов.\n\nСветлана Тихановская — 6,8%","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold",".\n\n","","","","","","","","","","","",""
"","","","","","","","","","","","","У Анны Канопацкой — 2,3%. Андрей Дмитриев предварительно набрал 1,1%, Сергей Черечень — 0,9%.","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","\n\n","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://people.onliner.by/2020/08/09/dannye-ekzitpola-lukashenko-nabral-79-golosov","","","","","","","","","","","",""
"","","","13814","message","2020-08-09T13:24:21","2020-08-09T13:27:46","Onliner","9598013669","","464","848","В Москве, как и в Минске, очень многие не смогли проголосовать до закрытия посольства. Белорусы, которые не успели попасть внутрь устроили стихийный митинг и поднимают в воздух синие паспорта.\n\nТелеканал Дождь сообщает, что улица Покровка, где расположено посольство сейчас перекрыта полицией.","","","","(File not included. Change data exporting settings to download.)","video_file","video/mp4","19","(File not included. Change data exporting settings to download.)","","","","","",""
"","","","13815","message","2020-08-09T13:24:21","","Onliner","9598013669","","464","848","","","","","(File not included. Change data exporting settings to download.)","video_file","video/mp4","32","(File not included. Change data exporting settings to download.)","","","","","",""
"","","","13816","message","2020-08-09T13:30:06","","Onliner","9598013669","","","","На данный момент в Минске заблокированы две площади — Независимости и Октябрьской. Там стоят КПП и через них не пускают людей. Наибольшее скопление техники сейчас находится на площади Мясникова и парковки возле Дома офицеров.","","","","","","","","","","","","","",""
