"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__forwarded_from","messages__reply_to_message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__text__href"
"","","","9885","message","2020-08-09T08:42:02","","TUT.BY новости","9668803208","","720","1280","Больше тысячи белорусов пришли к посольству в Петербурге, чтобы проголосовать. \n\nЧтобы пройти вдоль всей очереди, нашему подписчику понадобилось больше пяти минут (на видео этот путь ускорили).","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","58","Выборы видишь? | TUT.BY Политика","","","","","","","",""
"","","","9886","message","2020-08-09T08:56:48","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","957","875","В Минске задержали журналистов российского телеканала «Дождь».\n\n ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/696028.html?tg","","","","","","","","","","","","","",""
"","","","9887","message","2020-08-09T09:16:41","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","Тихановская и Колесникова не планируют уезжать из Беларуси.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696030.html?tg","","","","","","","","","","","","","",""
"","","","9888","message","2020-08-09T09:37:31","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","540","Напоминаем, что у нас идет онлайн о том, как голосует Беларусь.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695965.html?tg","","","","","","","","","","","","","",""
"","","","9889","message","2020-08-09T09:41:38","2020-08-09T09:42:06","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1050","700","Возникли сложности с доступом к платформе «Голос». \n\nРазработчики рассказали, что делать пользователям.  ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://42.tut.by/696034?tg","","","","","","","","","","","","","",""
"","","","9890","message","2020-08-09T09:49:12","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","В некоторых банках наблюдаются трудности при совершении отдельных операций.\n\n ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://finance.tut.by/news696020.html?tg","","","","","","","","","","","","","",""
"","","","9891","message","2020-08-09T09:51:26","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1023","575","Последним из кандидатов в президенты проголосовал Сергей Черечень.\n\n ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696036.html?tg","","","","","","","","","","","","","",""
"","","","9892","message","2020-08-09T09:57:23","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","801","На избирательном участке в Минске прошла художественная акция.\n\nНа бюллетене — фаллический символ. ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/culture/695791.html?tg","","","","","","","","","","","","","",""
"","","","9894","message","2020-08-09T10:07:27","","TUT.BY новости","9668803208","","1280","720","Только посмотрите, какая очередь выстроилась на избирательный участок на ул. Камайской в Минске!","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","60","","","","","","","","",""
"","","","9895","message","2020-08-09T10:08:22","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","338","Свежие данные по явке: проголосовали уже более 73%.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695965.html?tg","","","","","","","","","","","","","",""
"","","","9896","message","2020-08-09T10:15:27","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","Все, о чем говорил сегодня на избирательном участке № 1 Александр Лукашенко.\n\nКратко. ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696026.html?tg","","","","","","","","","","","","","",""
"","","","9897","message","2020-08-09T10:34:53","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","На участке в микрорайоне Лебяжий люди стоят в очереди больше 4 часов.\n\nА еще там ОМОН и автозаки.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/696037.html?tg","","","","","","","","","","","","","",""
"","","","9898","message","2020-08-09T10:58:09","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","619","361","В одном из телеграм-каналов пишут, что милиция не пускает людей на площадь Независимости в Минске.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695965.html?tg","","","","","","","","","","","","","",""
"","","","9899","message","2020-08-09T11:00:12","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","В день выборов в Минске на дорогах автозаки, водометы, автобусы с силовиками.\n\nФото и видео: ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/696033.html?tg","","","","","","","","","","","","","",""
"","","","9900","message","2020-08-09T11:07:09","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","Ермошина: Очереди на участках — организованная провокация со стороны протестного электората.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696039.html?tg","","","","","","","","","","","","","",""
"","","","9901","message","2020-08-09T11:18:40","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","Журналистов ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," с применением силы милиционер буквально вышвырнул с избирательного участка № 2 по улице Камайской, 18.\n\nОб этом попросила председатель комиссии. \n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695965.html?tg","","","","","","","","","","","","","",""
"","","","9902","message","2020-08-09T11:30:41","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","Какие суммы перечислили в фонды кандидатов?\n\nТихановская — на первом месте, Лукашенко — на втором. ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://finance.tut.by/news696021.html?tg","","","","","","","","","","","","","",""
"","","","9903","message","2020-08-09T11:35:34","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","Независимые наблюдатели говорят, что на некоторых участках в Минске явка уже превышает сто процентов.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/696040.html?tg","","","","","","","","","","","","","",""
"","","","9904","message","2020-08-09T12:05:13","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","835","Возле посольства Беларуси в Варшаве собралось более 2000 человек, которые хотят проголосовать.\n\nМногие пришли подготовленными: со стульями, пледами, зонтиками, едой, пятилитровыми бутылками воды.","","","","","","","","","","","","","","","",""
"","","","9905","message","2020-08-09T12:05:13","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","","","","","","","","","",""
"","","","9906","message","2020-08-09T12:05:13","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","","","","","","","","","",""
"","","","9907","message","2020-08-09T12:05:13","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","787","","","","","","","","","","","","","","","","",""
"","","","9908","message","2020-08-09T12:05:13","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","774","","","","","","","","","","","","","","","","",""
"","","","9909","message","2020-08-09T12:05:13","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","814","","","","","","","","","","","","","","","","",""
"","","","9910","message","2020-08-09T12:10:19","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","405","Вероника Цепкало рассказала, почему уехала в Москву.\n\nВ Беларусь она планирует вернуться.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696044.html?tg","","","","","","","","","","","","","",""
"","","","9911","message","2020-08-09T12:20:41","","TUT.BY новости","9668803208","","1280","720","Центральные улицы Минска перекрывают силовики.","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","38","","","","","","","","",""
"","","","9912","message","2020-08-09T12:29:16","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","Явка на 18.00 на выборах президента составила 79,01%.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695965.html?tg","","","","","","","","","","","","","",""
"","","","9913","message","2020-08-09T12:43:42","","TUT.BY новости","9668803208","","1280","720","Людей не пускают на Октябрьскую площадь — стоят силовики и ограждения.","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","40","","","","","","","","",""
"","","","9914","message","2020-08-09T12:57:38","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","658","МИД: задержанных журналистов «Дождя», скорее всего, попросят покинуть Беларусь.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696048.html?tg","","","","","","","","","","","","","",""
"","","","9915","message","2020-08-09T13:00:17","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","Задержан доверенное лицо Тихановской Николай Козлов.\n\n","","","","","","","","","","","","","","","",""
